MJ139,LFIX,,CBAF,M66,"33MU 17-10-43 129S 4-11-43 AST 13-11-43 FACB 24-12-43 AST VA for painting 17-3-44 443S 5-10-44 416S 30-11-44 AST 18-12-44 Armee de l""Air 16-8-46"
MJ140,LFIX,,CBAF,M66,39MU 17-10-43 405ARF 14-11-43 401S FAAC 22-2-44 411S Attacking rail bridge nr Granville Damaged by flak F/O C D Cross injured in low bale out off Selsey rescued by corvette 27-4-44
MJ141,LFIX,,CBAF,M66,39MU 10-10-43 405ARF 26-10-43 412S 21-11-43 401S FACB 11-1-44 AST 416S Ran out of fuel and abandoned 12m E of Caen CE 12-7-44
MJ142,LFIX,,CBAF,M66,33MU 17-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 Hit by NH420 while parked Peretola CE 2-12-44
MJ143,LFIXc,CBAF.IX.907,CBAF,M66,33MU 16-10-43 485S 25-10-43 66S CAC 19-5-44 AST 3-12-44 RNethAF 17-7-46 as H-1 extant Soesterberg Museum
MJ144,LFIX,,CBAF,M66,39MU 17-10-43 405ARF Croydon 25-10-43 412S 21-11-43 401S 5-12-43 412S CB ops 30-5-44 322S 20-9-44 414S 4-1-45 CB ops 25-2-45
MJ145,LFIX,,CBAF,M66,39MU 13-10-43 401S 8-11-43 Engine cut crashed in Channel 24-1-44 FH87.10 F/Lt J Sheppard rescued by ASR launch
MJ146,LFIX,,CBAF,M66,"33MU 16-10-43 405ARF 29-10-43 132S ""FF-A"" 15-6-44 421S 24-8-44 Missing presumed shot down by Bf109s nr Eindhoven 27-9-44 F/O R E Holness killed"
MJ147,LFIX,,CBAF,M66,"33MU 16-10-43 405ARF 29-10-43 602S ""LO-B"" FAAC 421S 6-7-44 401S 24-3 411S 31-8-44 126Wng 10-9-44 132Wng 5-10-44 ASTE 10-2-45 White Waltham 18-12-46 sold Turkey"
MJ148,LFIX,,CBAF,M66,39MU 17-10-43 405ARF 25-10-43 412S 21-11-43 U/c jammed bellylanded Tangmere CB ops 18-6-44 recat E 15-9-44
MJ149,LFIX,,CBAF,M66,33MU 16-10-43 405ARF 25-10-43 412S 21-11-43 Engine cut abandoned off Somme Estuary 16-3-44 FH35.50 F/O T M Saunderson rescued off French coast by Walrus
MJ150,LFIX,,CBAF,M66,"33MU 19-10-43 222MU 28-10-43 350S ""MN-G"" FAAC 24-1-44 ros 66S ""LZ-E"" 8-6-44 Damaged by flak and abandoned nr St.Paer Normandy CE ops 26-8-44"
MJ151,LFIX,,CBAF,M66,33MU 20-10-43 222MU 21-10-43 Montgomery City 15-11-43 Casablanca 29-11-43 Missing presumed shot down by Fw190 off Anzio 20-3-44
MJ152,LFIX,,CBAF,M66,33MU 16-10-43 405ARF 29-10-43 317S 12-12-43 CAC ops 5-1-44 ros 401S FAAC 1-6-44 ros 84GSU 16-8-44 RNethAF 28-5-47 as H-31 written off 4-50
MJ153,LFIX,,CBAF,M66,33MU 16-10-43 405ARF 29-10-43 602S taxy collision with MH488 Detling CB 25-11-43 recat E 5-12-43
MJ154,LFIX,,CBAF,M66,33MU 16-10-43 485S 25-10-43 66S engine failed force-landed Great Chesterford Cambs 25-1-44 FH38.45
MJ155,LFIX,,CBAF,M66,33MU 18-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 111S FTR ops 14-3-45
MJ156,LFIX,,CBAF,M66,33MU 21-10-43 47MU 14-11-43 Fort George 4-12-43 Casablanca 22-12-43 SOC 4-1-45
MJ169,LFIX,,CBAF,M66,39MU 16-10-43 405ARF 26-10-43 412S 21-11-43 FTR ops over enemy territory during ramrod 339 29-11-43 FH16.50
MJ170,LFIX,,CBAF,M66,33MU 24-10-43 405ARF 11-11-43 132S Flak from Deelen airfield crash-landed hit trees and burst into flames 29-4-44 P/O R B Pullin killed
MJ171,LFIX,,CBAF,M66,39MU 16-10-43 411ARF 6-11-43 AST 27-2-44 443S 22-6-44 416S 20-11-44 Miles Aircraft 23-2-45 2APU 7-7-45 MedAAF 7-8-45 REAF 27-11-46
MJ172,LFIX,,CBAF,M66,33MU 24-10-43 405ARF 11-11-43 401S Collided with MH845 nr Gravelines on sweep 20-12-43 [29-2-44] FH20.25
MJ173,LFIX,,CBAF,M66,33MU 18-10-43 405ARF 29-10-43 NFT
MJ174,LFIX,,CBAF,M66,39MU 16-10-43 405ARF 27-10-43 317S 11-1-44 332S 8-6-44 Brought down when attacking ground targets nr Le Havre 4-7-44 2/Lt N M Riung killed
MJ175,LFIX,,CBAF,M66,33MU 16-10-43 485S 4-11-43 349S 16-3-44 66S FACE 2-4-44
MJ176,LFIX,,CBAF,M66,33MU 16-10-43 485S 25-10-43 66S FAAC 5-6-44 420RSU 8-6-44 3501SU 12-10-44 NFT
MJ177,LFIX,,CBAF,M66,"39MU 16-10-43 340S ""GW-S"" 23-1-44 421S 8-6-44 34Wng Test Flt 28-9-44 sold VA 16-4-47 VASM to EA Cv two seat trainer 11-5-48 RIAF as HS535"
MJ178,LFIX,,CBAF,M66,33MU 17-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 238S Missing from GA mission nr Pontedera 11-6-44
MJ179,LFIX,,CBAF,M66,33MU 18-10-43 222MU 29-10-43 Montgomery City 15-11-43 Casablanca 29-11-43 43S 208S SOC 20-9-45
MJ180,LFIX,,CBAF,M66,33MU 16-10-43 485S 4-11-43 66S CB ops 9-2-44 83GSU 11-5-44 401S 22-6-44 410RSU 29-6-44 Scottish Aviation 19-4-45 new eng sold 11-7-47
MJ181,LFIX,,CBAF,M66,39MU 24-10-43 412S 28-11-43 ros 30-11-43 403S Engine cut undershot landing at Penshurst LG FACE 18-3-44 FH106.35 Sgt RW Denison killed
MJ182,LFIX,,CBAF,M66,33MU 16-10-43 485S 3-11-43 66S Hit by flak and forcelanded 6m N of Bayeux 21-5-44
MJ183,LFIX,,CBAF,M66,39MU 18-10-43 82MU 6-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 111S Engine cut abandoned nr Lake Bracciano 7-2-44
MJ184,LFIX,,CBAF,M66,33MU 17-10-43 222MU 7-11-43 Fort George 4-12-43 Casablanca 22-12-43 FAC3 16-3-44
MJ185,LFIX,,CBAF,M66,39MU 19-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 2SAAF Engine cut abandoned 20m E of Penna Point 19-3-44
MJ186,LFIX,,CBAF,M66,39MU 19-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 237S Hit by flak and crashlanded 10m NE of Massa 20-5-44
MJ187,LFIXb,,CBAF,M66,33MU 16-10-43 405ARF 412S 21-11-43 401S FACB 22-2-44 AST 403S CB ops 18-7-44 127Wng HQ 22-6-44 ? 416S 20-7-44 403S 27-7-44 421S 7-12-44 443S 21-12-44 411S 8-2-45 Engine cut crashlanded 2m S of Heesch FACE 22-2-45
MJ188,LFIX,,CBAF,M66,9MU 5-11-43 82MU 14-11-43 Empire Archer 23-12-44 Hapmat 9-1-45 USSR
MJ189,LFIX,,CBAF,M66,39MU 19-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 111S Shot down by flak west of Rome 4-6-44
MJ190,LFIX,,CBAF,M66,FF 12-10-43 engine failed abandoned aircraft another airframe substituted 39MU 12-12-43 82MU 24-12-43 City of Leeds 26-1-44 Casablanca 17-2-44 72S FTR ops 30-5-44 cancel Hit by flak and crashlanded nr Ravenna 18-4-45 recat A 28-4-45 MedAAF 21-6-45 SOC 19-7-45
MJ191,LFIX,,CBAF,M66,33MU 21-10-43 222MU 25-11-43 Fort George 4-12-43 Casablanca 22-12-43 Middle East 31-5-45 REAF 26-9-46
MJ192,LFIX,,CBAF,M66,39MU 20-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 MedAAF 21-6-44 SOC 20-9-45
MJ193,LFIX,,CBAF,M66,33MU 18-10-43 405ARF 28-11-43 421S 29-11-43 Tyre burst on take-off swung and tipped up Longues CAC 14-6-44
MJ194,LFIX,,CBAF,M66,39MU 30-10-43 76MU 12-11-43 Fort George 4-12-43 Casablanca 22-12-43 USAAF 31-1-44 601S SOC 31-8-44
MJ195,LFIX,,CBAF,M66,33MU 5-11-43 82MU 1-12-43 Fort George 4-12-43 Casablanca 22-12-43 4SAAF SOC 29-4-45
MJ196,LFIX,,CBAF,M66,33MU 5-11-43 47MU 27-11-43 Fanad Head 24-12-43 Casablanca 8-1-44 MedAAF 31-1-44 2SAAF Hit by flak and abandoned 7m SE of Lastovo Yugoslavia 19-3-44
MJ197,LFIX,,CBAF,M66,"39MU 16-10-43 411ARF 6-11-43 317S 2-12-43 332S FAAC 3-5-44 331S 8-6-44 84GSU 25-7-44 ASTH 3-1-45 Cv XIX oblique cameras Armee de l""Air 15-8-46"
MJ198,LFIX,,CBAF,M66,"39MU 17-10-43 405ARF 27-10-43 ? 412S 21-11-43 312S CB ops 24-5-44 34Wng SU prep flt 27-7-44 327S 19-4-45 Armee de l""Air 27-11-45 GC1/1"
MJ199,LFIX,,CBAF,M66,39MU 24-10-43 47MU 9-11-43 Fort George 4-12-43 Casablanca 22-12-43 FAC3 8-8-44
MJ200,LFIX,,CBAF,M66,39MU 22-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 72S Stalled on landing and u/c collapsed Rimini 11-1-45 SOC 10-4-45
MJ201,LFIX,,CBAF,M66,"39MU 16-10-43 222S 6-11-43 310S 8-6-44 331S 15-6-44 91S 28-9-44 CAC ops 8-12-44 302S 18-1-45 GACB 13-3-45 Armee de l""Air 16-9-46"
MJ202,LFIX,,CBAF,M66,9MU 5-11-43 83GSU 26-8-44 401S 14-9-44 CAC ops 19-11-44 to 5691M 2-10-45 SOC 24-1-51
MJ203,LFIX,,CBAF,M66,39MU 21-10-43 82MU 6-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 451S 72S Hit by flak nr Canaro and abandoned 10-1-45
MJ215,IX,,CBAF,M63,33MU 1-10-43 405ARF 9-10-43 19S 27-10-43 Engine cut while escorting B-26s ditched 1m N of Dieppe 7-11-43 FH13.20 F/Sgt F G D Prebble killed
MJ216,IX,,CBAF,M63,"33MU 1-10-43 165S ""SK-W"" 8-10-43 453S 16-5-44 310S 8-7-44 504S 15-7-44 303S FAAC 18-8-44 ros ASTE 6-10-44 ECFS 9-7-45 sold scrap W.F.Lamont 8-9-49"
MJ217,LFIX,,CBAF,M66,"9MU 20-1-44 331S ""FN-X"" 9-2-44 420RSU CAC 19-7-44 331S 22-7-44 66S ""LZ-A"" 3-8-44 Westland 19-10-44 165S 10-6-45 128Wng 19-7-45 RNoAF 331S ""FN-B"" 21-9-45 331skv ""A-AT"" overturned Gardermoen 30-9-49"
MJ218,LFIX,,CBAF,M66,33MU 7-10-43 405ARF 18-10-43 401S 21-11-43 CAC ops 23-12-43 MedAF Command 511FRU 9-1-44 332S Crash-landed nr Juaye Port-en-Bessin CE 7-6-44 Sgt E B Olufsen died 23rd
MJ219,IX,,CBAF,M63,33MU 1-10-43 405ARF 7-10-43 302S 27-10-43 CAC ops 5-11-43 229S Flew into hill in cloud on return from patrol IoW 11-6-44 Lt R A Cumming SAAF killed
MJ220,IX,,CBAF,M63,33MU 1-10-43 322S 15-10-43 229S FAAC 11-5-44 ros 611S 9-8-44 CAC ops 1-9-44 AST SAAF 28-4-48
MJ221,LFIX,,CBAF,M66,6MU 22-4-44 3501SU 26-5-44 165S 10-6-44 CAC ops 8-12-44 302S 18-1-45 317S 8-2-45 FACB 30-4-45 411RSU 3-5-45 SOC 3-4-47
MJ222,IX,,CBAF,M63,"33MU 1-10-43 405ARF 15-10-43 122S 27-10-43 229S 29-5-44 engine failed into sea off Dungeness 30-7-44 [Armee de l""Air 10-4-66]"
MJ223,LFIX,,CBAF,M66,9MU 1-2-44 83GSU 12-3-44 132S 15-6-44 412S 20-7-44 453S Shot down by flak over Ostend 29-9-44
MJ224,IX,,CBAF,M63,33MU 11-10-43 331S 9-11-43 611S 14-7-44 CAC ops 24-7-44 58OTU 24-4-45 FACB 30-5-45 SAAF 24-4-48
MJ225,LFIX,,CBAF,M66,33MU 11-10-43 331S 25-10-43 611S 3-8-44 CAC ops 10-9-44 Scottish Aviation FAAC 26-2-45 312S 6-3-45 Scottish Aviation 12-3-45 SAAF 2-1-49
MJ226,IX,,CBAF,M63,33MU 18-10-43 82MU 4-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 92S 318S Engine cut bellylanded nr Lavariano FACE 8-6-45 SOC 28-6-45
MJ227,IX,,CBAF,M63,33MU 18-10-43 222MU 7-11-43 Fort George 4-12-43 Casablanca 22-12-43 Middle East 21-6-45 REAF 29-8-46
MJ228,LFIX,,CBAF,M66,33MU 18-10-43 405ARF 29-10-43 412S fast landing collision with MJ300 on runway Biggin Hill 3-3-44 FH65.30
MJ229,LFIX,,CBAF,M66,33MU 18-10-43 405ARF 5-11-43 411S Hit by flak and abandoned over Channel 2-6-44
MJ230,LFIX,,CBAF,M66,"33MU 18-10-43 405ARF 4-11-43 Hit by return fire from Ju88 nr Creil crash-landed at Kenley CB 23-3-44 349S ""GE-K"" 8-6-44 84GSU 22-6-44 412S 22-6-44 421S 5-10-44 Armee de l""Air 27-11-45"
MJ231,LFIX,,CBAF,M66,9MU 12-2-44 83GSU 30-3-44 401S 22-6-44 CE ops 24-7-44 Hit by flak and abandoned nr Lisieux 25-7-44 F/Lt W R Tew evaded
MJ232,LFIX,,CBAF,M66,"33MU 18-10-43 222S 28-10-43 313S 8-6-44 84GSU 29-6-44 350S ""MN-C"" 24-7-44 322S ""VL-C"" 4-9-44 NFT"
MJ233,LFIX,,CBAF,M66,39MU 21-10-43 82MU 6-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 SOC 28-4-45
MJ234,LFIX,,CBAF,M66,39MU 21-10-43 82MU 6-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 USAAF 31-1-44 SOC 14-3-46
MJ235,LFIX,,CBAF,M66,39MU 24-10-43 401ARF 9-11-43 317S 11-1-44 332S Engine cut ditched 5m off Sussex coast 12-6-44
MJ236,LFIX,,CBAF,M66,39MU 24-10-43 401ARF 9-11-43 411S Shot down by fighters nr Cambrai 1-12-43 FH7.20
MJ237,LFIX,,CBAF,M66,39MU 16-10-43 405ARF 27-10-43 403S 29-6-44 CAC ops 18-7-44 441S 13-7-44 ? 403S 27-7-44 AST 5-10-44 MedAAF 27-2-45 Middle East SOC 26-9-46
MJ238,LFIX,,CBAF,M66,39MU 12-10-43 83GSU 27-10-43 GAL 23-11-43 MedAAF 10-3-45 32S eng fail on takeoff Ramat David Palestine CE 29-6-46 SOC 30-4-47
MJ239,LFIX,,CBAF,M66,39MU 27-10-43 411ARF 16-11-43 602S CB ops 16-6-44 441S 6-7-44 442S 20-7-44 401S 31-8-44 602S FACB 25-10-44 MedAAF 20-6-45 SOC 18-10-45
MJ240,LFIX,,CBAF,M66,39MU 24-10-43 82MU 6-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 4ADU Bellylanded in error Ban 29-1-44
MJ241,LFIX,,CBAF,M66,39MU 28-7-44 82MU 10-8-44 Melampus 20-8-44 Casablanca 3-9-44 Middle East 345S SOC 26-9-46
MJ242,LFIX,,CBAF,M66,9MU 5-11-43 52MU 21-11-44 SS267 1-12-44 Hapmat 9-1-45 USSR
MJ243,LFIX,,CBAF,M66,9MU 14-11-43 3501SU 13-6-44 350S 9-7-44 322S tyre burst heavy landing u/c collapse Deanland CE 9-8-44
MJ244,LFIX,,CBAF,M66,9MU 5-11-43 91S 7-9-44 ros 6-11-44 1S 12-4-45 HAL 29-8-45 BAF 2-9-47 as SM-11
MJ245,LFIX,,CBAF,M66,39MU 16-10-43 411ARF 6-11-43 317S 1-1-44 332S CAC ops 15-5-44 AST 83GSU 17-10-44 401S Overshot landing at Heesch and overturned CE 8-12-44
MJ246,LFIX,,CBAF,M66,39MU 18-10-43 411ARF 6-11-43 401S 22-6-44 Armed recce shot down by fighters nr Caen 28-6-44 F/Lt G B Murray baled out but killed
MJ247,LFIX,,CBAF,M66,39MU 19-10-43 222MU 9-11-43 Fort George 4-12-43 Casablanca 22-12-43 major repair 26-6-47 73S engine failed takeoff crashed Takali Malta 15-8-47 SOC 25-9-47
MJ248,LFIX,,CBAF,M66,ERD 38MU 23-10-43 82MU 26-11-43 Fort George 4-12-43 Casablanca 22-12-43 72S 253S Crashlanded on sweep S of Kresovo CE 11-12-44
MJ249,LFIX,,CBAF,M66,9MU 5-11-43 82MU 28-5-44 Arabis 29-6-44 Basrah 12-8-44 USSR
MJ250,LFIX,,CBAF,M66,ERD 39MU 22-10-43 82MU 8-11-43 Fort George 4-12-43 Casablanca 22-12-43 601S SOC 5-6-45
MJ251,LFIX,,CBAF,M66,ERD 33MU 22-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 USAAF 31-1-44 Middle East SOC 26-9-46
MJ252,LFIX,,CBAF,M66,"33MU 20-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 111S ""JU-Q"" SOC 13-12-45"
MJ253,LFIX,,CBAF,M66,39MU 18-10-43 222S 6-11-43 332S 15-6-44 Escort against Noball target Engine lost power abandoned over Channel 30-6-44 Sgt E Veiersted rescued by Walrus
MJ254,LFIX,,CBAF,M66,ERD 33MU 22-10-43 47MU 7-11-43 Fort George 4-12-43 Casablanca 22-12-43 SOC 11-4-46
MJ255,LFIX,,CBAF,M66,33MU 24-10-43 405ARF 8-11-43 412S 21-11-43 Engine cut crashlanded in Normandy CE 11-6-44
MJ256,LFIX,,CBAF,M66,33MU 20-10-43 47MU 7-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 72S Middle East 9-8-45 6S u/c collapse landing Ramat David Palestine CE 6-6-46 SOC 25-7-46
MJ257,LFIX,,CBAF,M66,33MU 2-10-43 47MU 12-11-43 Fort George 4-12-43 Casablanca 22-12-43 USAAF 29-2-44 RAF 31-5-44 SOC 28-4-45
MJ258,LFIX,,CBAF,M66,39MU 20-10-43 82MU 6-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 1435S 4SAAF SOC 14-3-46
MJ271,LFIXc,CBAF.IX.970,CBAF,M66,33MU 2-10-43 411ARF 132S FACB 9-5-44 AST 401S 23-11-44 CAC ops 14-12-44 410RSU 21-12-44 ros 23-2-45 RNethAF 25-11-46 as H-8 extant Aviodome Amsterdam
MJ272,LFIX,,CBAF,M66,39MU 20-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 2SAAF Damaged by flak and crash-landed nr Villanova 19-3-45 recovered SOC 9-10-47
MJ273,LFIX,,CBAF,M66,39MU 18-10-43 82MU 6-11-43 Fort George 4-12-43 Casablanca 22-12-43 SOC 28-4-45
MJ274,LFIX,,CBAF,M66,39MU 29-10-43 82MU 6-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 SOC 13-12-45
MJ275,LFIX,,CBAF,M66,33MU 20-10-43 416S 30-1-44 CAC ops 13-5-44 AST 83GSU 19-9-44 412S 23-11-44 CAC ops 16-2-45 Armed recce Shot down by flak crashed in flames Zelhem 30-3-45 F/Lt W J Anderson killed
MJ276,LFIX,,CBAF,M66,39MU 3-11-43 405ARF 12-11-43 602S FTR 15-6-44 SOC cancel bboc 405RSU 453S FAAC 18-8-44 441S 14-9-44 82GCF 19-7-45 sold VA 16-4-47 Cv two seat trainer 11-5-48 RIAF 29-9-48 as HS536
MJ277,LFIX,,CBAF,M66,33MU 20-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 111S Shot down by ground fire attacking MT Rhone Valley 29-8-44 SOC 31-8-44
MJ278,LFIX,,CBAF,M66,39MU 20-10-43 222MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 237S 451S SOC 23-12-44
MJ279,LFIX,,CBAF,M66,33MU 5-11-43 82MU 11-11-43 Fort George 4-12-43 Casablanca 22-12-43 237S Hit by flak and abandoned 3m E of Gorgona 28-4-44
MJ280,LFIX,,CBAF,M66,ERD 39MU 23-10-43 82MU 8-11-43 Fort George 4-12-43 Casablanca 22-12-43 SOC 23-10-44
MJ281,LFIX,,CBAF,M66,"33MU 17-10-43 129S 25-10-43 FACB 3-11-43 AST GAL 8-8-44 84GSU 23-8-44 302S 21-9-44 308S ""ZF-P"" Bombing sortie dawn Bombs hung up returned to St.Denijs Westrem at 0927 as attack by II/JG1 began Shot down a Fw190 then Fw190s shot him down 1-1-45 F/Lt W Chojnacki killed"
MJ282,LFIX,,CBAF,M66,33MU 20-10-43 222MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 111S 601S 3SAAF Middle East SOC 26-9-46
MJ283,LFIX,,CBAF,M66,"33MU 24-10-43 405ARF 12-11-43 AST 25-5-44 83GSU 24-10-44 442S 28-12-44 401S 22-3-45 130S 17-5-45 ASTH 25-2-46 165S 12-9-46 Armee de l""Air 1-5-47"
MJ284,LFIX,,CBAF,M66,39MU 19-10-43 82MU 6-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 4FU SOC 31-12-45
MJ285,LFIX,,CBAF,M66,"9MU 3-11-43 322S 20-9-44 84GSU 9-11-44 327S 5-4-45 81RSU 19-4-45 Armee de l""Air 27-11-45"
MJ286,LFIX,,CBAF,M66,33MU 24-10-43 442S 13-3-44 17APC struck in rear by Martinet EM588 of 17APC South CE 23-5-44 602S 22-6-44 Armed recce attacked MT Hit by flak and dived into sea off Trouville 19-7-44 W/O J D Pincus killed
MJ287,LFIX,,CBAF,M66,39MU 24-10-43 411S 16-11-43 Engine cut overshot and overturned on landing Biggin Hill CE 21-12-43 FH17.15
MJ288,LFIX,,CBAF,M66,39MU 24-10-43 405ARF 8-11-43 411S 21-11-43 Shot down by fighters N of Cambrai 1-12-43 FH20.50 P/O J A St.Denis killed
MJ289,LFIX,,CBAF,M66,33MU 24-10-43 405ARF 10-11-43 401S 21-11-43 83GSU 6-7-44 Scottish Aviation 8-8-44 485S 4-44 ? crashed after sortie over Arnhem 30-9-44 GAL 3-11-44 mods Tanela 13-1-45 Casablanca 25-1-45 Swung on landing and tipped up Falconara CE 13-4-45
MJ290,LFIX,,CBAF,M66,ERD 33MU 22-10-43 47MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 2SAAF Hit HT cables during ground attack mission nr Carsoli 3-3-44
MJ291,LFIX,,CBAF,M66,33MU 24-10-43 310S 24-1-44 84GSU 22-6-44 64S engine failed landing approach force-landed nr Harrowbeer CE 11-7-44
MJ292,LFIX,,CBAF,M66,"33MU 24-10-43 405ARF 10-11-43 39MU 7-4-44 83GSU 7-5-44 313S 8-6-44 412S 6-7-44 453S ""FU-K"" 28-9-44 MedAAF 9-7-45 RHAF 30-1-47"
MJ293,LFIX,,CBAF,M66,39MU 24-10-43 411ARF 16-11-43 317S 2-12-43 FACB 26-11-43 ? 511FRU 13-12-43 313S 8-6-44 332S 15-6-44 420RSU 29-6-44 CB ops 8-8-44 DeH 16-8-44 MedAAF 5-3-45 Crashed presumed hit by flak nr Udine 16-4-45
MJ294,LFIX,,CBAF,M66,33MU 23-1-44 349S 16-2-44 84GSU 15-6-44 mods 332S 15-6-44 602S 5-10-44 3APU 15-4-45 MedAAF 17-5-45 SOC 6-12-45
MJ295,LFIX,,CBAF,M66,33MU 24-10-43 405ARF 421S 6-7-44 127Wng HQ crashed en route 1OADU CE 3-2-45
MJ296,LFIX,,CBAF,M66,39MU 24-10-43 411ARF 2-12-43 349S engine failed wheels up landing Boxing Farm West Dean Sussex CB 29-4-44 recat E
MJ297,LFIX,,CBAF,M66,39MU 27-10-43 47MU 11-11-43 Fort George 4-12-43 Casablanca 22-12-43 to ItalianAF 30-5-46 as MM4015
MJ298,LFIX,,CBAF,M66,39MU 24-10-43 76MU 14-11-43 Fort George 4-12-43 Casablanca 22-12-43 Aeronavale 28-3-46
MJ299,LFIX,,CBAF,M66,39MU 24-10-43 411ARF 16-11-43 317S 2-12-43 332S Shot down by Fw190 over Dutch coast 8-3-44
MJ300,LFIX,,CBAF,M66,33MU 24-10-43 405ARF 21-11-43 FACB 3-3-44 AST 83GSU 30-6-44 412S 24-8-44 401S shot down by Fw190s nr Nijmegen 2-10-44 F/Lt R R Bouskill DFC killed
MJ301,LFIX,,CBAF,M66,9MU 8-11-43 GAL 22-8-44 84GSU 10-9-44 441S Escort Lancasters to Cologne Missing in cloud nr Brussels presumed due to icing 28-10-44 P/O V A G Brochu killed
MJ302,LFIX,,CBAF,M66,33MU 24-10-43 405ARF 8-11-43 412S 21-11-43 Engine cut abandoned off Dungeness 28-1-44 FH72.5 F/Lt D G McKay rescued by Walrus
MJ303,LFIX,,CBAF,M66,39MU 24-10-43 405ARF 8-11-43 412S 21-11-43 CAC ops 4-1-44 ros 405RSU 9-2-44 602S Escort B-26s to Creil attacked by Fw190s S of Neufchatel 10-5-44 P/O M W Frith killed
MJ304,LFIX,,CBAF,M66,"39MU 24-10-43 412S 23-11-43 Shot down by Bf109""s nr Argenton 2-8-44 S/Ldr J E Sheppard captured but escaped and returned"
MJ305,LFIX,,CBAF,M66,"39MU 3-11-43 405ARF 21-11-43 118S FAAC 5-2-44 ros 511FRU 8-6-44 602S ""LO-K"" 15-6-44 Armed recce attack on rail targets hit by flak nr Auney 7-7-44 P/O L D Kidd RCAF killed"
MJ306,LFIX,,CBAF,M66,33MU 24-10-43 405ARF 11-11-43 412S Engine cut forcelanded nr Ypres 4-3-44 FH19 F/Lt A B W Ketterson killed
MJ307,LFIX,,CBAF,M66,33MU 24-10-43 405ARF 11-11-43 132S Missing from sweep to Chartres poss flak nr Rouen 30-3-44 F/Sgt T H Clark killed
MJ308,LFIX,,CBAF,M66,39MU 24-10-43 52MU 8-11-43 Montgomery City 15-11-43 Casablanca 29-11-43 4FU FTR ops 24-3-45
MJ309,IX,,CBAF,M63,39MU 1-10-43 405ARF 12-10-43 131S 8-11-43 165S 19-3-44 453S 11-4-44 33S collision with BS306 Mountfield Sussex CE 22-5-44
MJ310,IX,,CBAF,M63,33MU 7-10-43 405ARF 18-10-43 229S 29-5-44 ros 6-6-44 Westland 8-6-44 recat E SOC 4-2-45
MJ311,IX,,CBAF,M63,"33MU 8-10-43 405ARF 18-10-43 501S ""SD-2"" 16-11-43 CAC ops 27-4-44 80S 29-5-44 FAAC 16-6-44 310S spun into ground from cloud St.Michaels at Wade Braintree Essex 3-9-44 W/O Sv Kach killed"
MJ312,LFIX,,CBAF,M66,39MU 15-10-43 405ARF 26-10-43 412S 21-11-43 CB ops 29-11-43 AST 83GSU 26-4-44 403S FACB 28-5-44 AST 412S 23-11-44 Shot down by flak nr Nijmegen 20-1-45
MJ313,LFIX,,CBAF,M66,"39MU 16-10-43 401S 21-11-43 411S 22-6-44 410RSU 12-7-44 126S ""5J-B"" 2-9-44 Scottish Aviation 21-2-45 sold Turkey 26-6-47"
MJ314,IX,,CBAF,M63,39MU 16-10-43 405ARF 27-10-43 302S 21-11-43 CAC 21-4-44 274S FAAC 15-5-44 ros FLS Millfield 21-8-44 SOC 16-10-46
MJ328,LFIX,,CBAF,M66,33MU 20-10-43 82MU 8-11-43 Fort George 4-12-43 Casablanca 22-12-43 Middle East SOC 30-8-46
MJ329,LFIX,,CBAF,M66,33MU 23-10-43 405ARF 8-11-43 412S 23-11-43 FAAC 20-3-44 Miles Aircraft 18-7-44 410RSU 2-11-44 ASTE 9-2-45 to 6370M 10-7-47 RDAF 15-7-47 34MU scrap 13-10-47
MJ330,LFIX,,CBAF,M66,MU 24-10-43 222MU 9-11-43 Fort George 4-12-43 Casablanca 22-12-43 208S Shot down by flak San Benedetto 7-4-44
